,variable,mapped_id,description,calculation,index,map
48,admissions.act_scores.75th_percentile.cumulative,ACTCM75,75th percentile of the ACT cumulative score,,,
49,admissions.act_scores.25th_percentile.english,ACTEN25,25th percentile of the ACT English score,,,
50,admissions.act_scores.75th_percentile.english,ACTEN75,75th percentile of the ACT English score,,,
51,admissions.act_scores.25th_percentile.math,ACTMT25,25th percentile of the ACT math score,,,
52,admissions.act_scores.75th_percentile.math,ACTMT75,75th percentile of the ACT math score,,,
53,admissions.act_scores.25th_percentile.writing,ACTWR25,25th percentile of the ACT writing score,,,
54,admissions.act_scores.75th_percentile.writing,ACTWR75,75th percentile of the ACT writing score,,,
55,admissions.act_scores.midpoint.cumulative,ACTCMMID,Midpoint of the ACT cumulative score,,float,
56,admissions.act_scores.midpoint.english,ACTENMID,Midpoint of the ACT English score,,,
57,admissions.act_scores.midpoint.math,ACTMTMID,Midpoint of the ACT math score,,,
58,admissions.act_scores.midpoint.writing,ACTWRMID,Midpoint of the ACT writing score,,,
59,admissions.sat_scores.average.overall,SAT_AVG,Average SAT equivalent score of students admitted,,float,
60,admissions.sat_scores.average.by_ope_id,SAT_AVG_ALL,Average SAT equivalent score of students admitted for all campuses rolled up to the 6-digit OPE ID,,,
61,academics.program_percentage.agriculture,PCIP01,"Percentage of degrees awarded in Agriculture, Agriculture Operations, And Related Sciences.",,,
62,academics.program_percentage.resources,PCIP03,Percentage of degrees awarded in Natural Resources And Conservation.,,,
63,academics.program_percentage.architecture,PCIP04,Percentage of degrees awarded in Architecture And Related Services.,,,
64,academics.program_percentage.ethnic_cultural_gender,PCIP05,"Percentage of degrees awarded in Area, Ethnic, Cultural, Gender, And Group Studies.",,,
65,academics.program_percentage.communication,PCIP09,"Percentage of degrees awarded in Communication, Journalism, And Related Programs.",,,
66,academics.program_percentage.communications_technology,PCIP10,Percentage of degrees awarded in Communications Technologies/Technicians And Support Services.,,,
67,academics.program_percentage.computer,PCIP11,Percentage of degrees awarded in Computer And Information Sciences And Support Services.,,,
68,academics.program_percentage.personal_culinary,PCIP12,Percentage of degrees awarded in Personal And Culinary Services.,,,
69,academics.program_percentage.education,PCIP13,Percentage of degrees awarded in Education.,,,
70,academics.program_percentage.engineering,PCIP14,Percentage of degrees awarded in Engineering.,,,
71,academics.program_percentage.engineering_technology,PCIP15,Percentage of degrees awarded in Engineering Technologies And Engineering-Related Fields.,,,
72,academics.program_percentage.language,PCIP16,"Percentage of degrees awarded in Foreign Languages, Literatures, And Linguistics.",,,
73,academics.program_percentage.family_consumer_science,PCIP19,Percentage of degrees awarded in Family And Consumer Sciences/Human Sciences.,,,
74,academics.program_percentage.legal,PCIP22,Percentage of degrees awarded in Legal Professions And Studies.,,,
75,academics.program_percentage.english,PCIP23,Percentage of degrees awarded in English Language And Literature/Letters.,,,
76,academics.program_percentage.humanities,PCIP24,"Percentage of degrees awarded in Liberal Arts And Sciences, General Studies And Humanities.",,,
77,academics.program_percentage.library,PCIP25,Percentage of degrees awarded in Library Science.,,,
78,academics.program_percentage.biological,PCIP26,Percentage of degrees awarded in Biological And Biomedical Sciences.,,,
79,academics.program_percentage.mathematics,PCIP27,Percentage of degrees awarded in Mathematics And Statistics.,,,
80,academics.program_percentage.military,PCIP29,Percentage of degrees awarded in Military Technologies And Applied Sciences.,,,
81,academics.program_percentage.multidiscipline,PCIP30,Percentage of degrees awarded in Multi/Interdisciplinary Studies.,,,
82,academics.program_percentage.parks_recreation_fitness,PCIP31,"Percentage of degrees awarded in Parks, Recreation, Leisure, And Fitness Studies.",,,
83,academics.program_percentage.philosophy_religious,PCIP38,Percentage of degrees awarded in Philosophy And Religious Studies.,,,
84,academics.program_percentage.theology_religious_vocation,PCIP39,Percentage of degrees awarded in Theology And Religious Vocations.,,,
85,academics.program_percentage.physical_science,PCIP40,Percentage of degrees awarded in Physical Sciences.,,,
86,academics.program_percentage.science_technology,PCIP41,Percentage of degrees awarded in Science Technologies/Technicians.,,,
87,academics.program_percentage.psychology,PCIP42,Percentage of degrees awarded in Psychology.,,,
88,academics.program_percentage.security_law_enforcement,PCIP43,"Percentage of degrees awarded in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.",,,
89,academics.program_percentage.public_administration_social_service,PCIP44,Percentage of degrees awarded in Public Administration And Social Service Professions.,,,
90,academics.program_percentage.social_science,PCIP45,Percentage of degrees awarded in Social Sciences.,,,
91,academics.program_percentage.construction,PCIP46,Percentage of degrees awarded in Construction Trades.,,,
92,academics.program_percentage.mechanic_repair_technology,PCIP47,Percentage of degrees awarded in Mechanic And Repair Technologies/Technicians.,,,
93,academics.program_percentage.precision_production,PCIP48,Percentage of degrees awarded in Precision Production.,,,
94,academics.program_percentage.transportation,PCIP49,Percentage of degrees awarded in Transportation And Materials Moving.,,,
95,academics.program_percentage.visual_performing,PCIP50,Percentage of degrees awarded in Visual And Performing Arts.,,,
96,academics.program_percentage.health,PCIP51,Percentage of degrees awarded in Health Professions And Related Programs.,,,
97,academics.program_percentage.business_marketing,PCIP52,"Percentage of degrees awarded in Business, Management, Marketing, And Related Support Services.",,,
98,academics.program_percentage.history,PCIP54,Percentage of degrees awarded in History.,,,
99,academics.program.certificate_lt_1_yr.agriculture,CIP01CERT1,"Certificate of less than one academic year in Agriculture, Agriculture Operations, And Related Sciences.",,,
100,academics.program.certificate_lt_2_yr.agriculture,CIP01CERT2,"Certificate of at least one but less than two academic years in Agriculture, Agriculture Operations, And Related Sciences.",,,
101,academics.program.assoc.agriculture,CIP01ASSOC,"Associate degree in Agriculture, Agriculture Operations, And Related Sciences.",,,
102,academics.program.certificate_lt_4_yr.agriculture,CIP01CERT4,"Award of at least two but less than four academic years in Agriculture, Agriculture Operations, And Related Sciences.",,,
103,academics.program.bachelors.agriculture,CIP01BACHL,"Bachelor's degree in Agriculture, Agriculture Operations, And Related Sciences.",,,
104,academics.program.certificate_lt_1_yr.resources,CIP03CERT1,Certificate of less than one academic year in Natural Resources And Conservation.,,,
105,academics.program.certificate_lt_2_yr.resources,CIP03CERT2,Certificate of at least one but less than two academic years in Natural Resources And Conservation.,,,
106,academics.program.assoc.resources,CIP03ASSOC,Associate degree in Natural Resources And Conservation.,,,
107,academics.program.certificate_lt_4_yr.resources,CIP03CERT4,Award of at least two but less than four academic years in Natural Resources And Conservation.,,,
108,academics.program.bachelors.resources,CIP03BACHL,Bachelor's degree in Natural Resources And Conservation.,,,
109,academics.program.certificate_lt_1_yr.architecture,CIP04CERT1,Certificate of less than one academic year in Architecture And Related Services.,,,
110,academics.program.certificate_lt_2_yr.architecture,CIP04CERT2,Certificate of at least one but less than two academic years in Architecture And Related Services.,,,
111,academics.program.assoc.architecture,CIP04ASSOC,Associate degree in Architecture And Related Services.,,,
112,academics.program.certificate_lt_4_yr.architecture,CIP04CERT4,Award of at least two but less than four academic years in Architecture And Related Services.,,,
113,academics.program.bachelors.architecture,CIP04BACHL,Bachelor's degree in Architecture And Related Services.,,,
114,academics.program.certificate_lt_1_yr.ethnic_cultural_gender,CIP05CERT1,"Certificate of less than one academic year in Area, Ethnic, Cultural, Gender, And Group Studies.",,,
115,academics.program.certificate_lt_2_yr.ethnic_cultural_gender,CIP05CERT2,"Certificate of at least one but less than two academic years in Area, Ethnic, Cultural, Gender, And Group Studies.",,,
116,academics.program.assoc.ethnic_cultural_gender,CIP05ASSOC,"Associate degree in Area, Ethnic, Cultural, Gender, And Group Studies.",,,
117,academics.program.certificate_lt_4_yr.ethnic_cultural_gender,CIP05CERT4,"Award of at least two but less than four academic years in Area, Ethnic, Cultural, Gender, And Group Studies.",,,
118,academics.program.bachelors.ethnic_cultural_gender,CIP05BACHL,"Bachelor's degree in Area, Ethnic, Cultural, Gender, And Group Studies.",,,
119,academics.program.certificate_lt_1_yr.communication,CIP09CERT1,"Certificate of less than one academic year in Communication, Journalism, And Related Programs.",,,
120,academics.program.certificate_lt_2_yr.communication,CIP09CERT2,"Certificate of at least one but less than two academic years in Communication, Journalism, And Related Programs.",,,
121,academics.program.assoc.communication,CIP09ASSOC,"Associate degree in Communication, Journalism, And Related Programs.",,,
122,academics.program.certificate_lt_4_yr.communication,CIP09CERT4,"Award of at least two but less than four academic years in Communication, Journalism, And Related Programs.",,,
123,academics.program.bachelors.communication,CIP09BACHL,"Bachelor's degree in Communication, Journalism, And Related Programs.",,,
124,academics.program.certificate_lt_1_yr.communications_technology,CIP10CERT1,Certificate of less than one academic year in Communications Technologies/Technicians And Support Services.,,,
125,academics.program.certificate_lt_2_yr.communications_technology,CIP10CERT2,Certificate of at least one but less than two academic years in Communications Technologies/Technicians And Support Services.,,,
126,academics.program.assoc.communications_technology,CIP10ASSOC,Associate degree in Communications Technologies/Technicians And Support Services.,,,
127,academics.program.certificate_lt_4_yr.communications_technology,CIP10CERT4,Award of at least two but less than four academic years in Communications Technologies/Technicians And Support Services.,,,
128,academics.program.bachelors.communications_technology,CIP10BACHL,Bachelor's degree in Communications Technologies/Technicians And Support Services.,,,
129,academics.program.certificate_lt_1_yr.computer,CIP11CERT1,Certificate of less than one academic year in Computer And Information Sciences And Support Services.,,,
130,academics.program.certificate_lt_2_yr.computer,CIP11CERT2,Certificate of at least one but less than two academic years in Computer And Information Sciences And Support Services.,,,
131,academics.program.assoc.computer,CIP11ASSOC,Associate degree in Computer And Information Sciences And Support Services.,,,
132,academics.program.certificate_lt_4_yr.computer,CIP11CERT4,Award of at least two but less than four academic years in Computer And Information Sciences And Support Services.,,,
133,academics.program.bachelors.computer,CIP11BACHL,Bachelor's degree in Computer And Information Sciences And Support Services.,,,
134,academics.program.certificate_lt_1_yr.personal_culinary,CIP12CERT1,Certificate of less than one academic year in Personal And Culinary Services.,,,
135,academics.program.certificate_lt_2_yr.personal_culinary,CIP12CERT2,Certificate of at least one but less than two academic years in Personal And Culinary Services.,,,
136,academics.program.assoc.personal_culinary,CIP12ASSOC,Associate degree in Personal And Culinary Services.,,,
137,academics.program.certificate_lt_4_yr.personal_culinary,CIP12CERT4,Award of at least two but less than four academic years in Personal And Culinary Services.,,,
138,academics.program.bachelors.personal_culinary,CIP12BACHL,Bachelor's degree in Personal And Culinary Services.,,,
139,academics.program.certificate_lt_1_yr.education,CIP13CERT1,Certificate of less than one academic year in Education.,,,
140,academics.program.certificate_lt_2_yr.education,CIP13CERT2,Certificate of at least one but less than two academic years in Education.,,,
141,academics.program.assoc.education,CIP13ASSOC,Associate degree in Education.,,,
142,academics.program.certificate_lt_4_yr.education,CIP13CERT4,Award of at least two but less than four academic years in Education.,,,
143,academics.program.bachelors.education,CIP13BACHL,Bachelor's degree in Education.,,,
144,academics.program.certificate_lt_1_yr.engineering,CIP14CERT1,Certificate of less than one academic year in Engineering.,,,
145,academics.program.certificate_lt_2_yr.engineering,CIP14CERT2,Certificate of at least one but less than two academic years in Engineering.,,,
146,academics.program.assoc.engineering,CIP14ASSOC,Associate degree in Engineering.,,,
147,academics.program.certificate_lt_4_yr.engineering,CIP14CERT4,Award of at least two but less than four academic years in Engineering.,,,
148,academics.program.bachelors.engineering,CIP14BACHL,Bachelor's degree in Engineering.,,,
149,academics.program.certificate_lt_1_yr.engineering_technology,CIP15CERT1,Certificate of less than one academic year in Engineering Technologies And Engineering-Related Fields.,,,
150,academics.program.certificate_lt_2_yr.engineering_technology,CIP15CERT2,Certificate of at least one but less than two academic years in Engineering Technologies And Engineering-Related Fields.,,,
151,academics.program.assoc.engineering_technology,CIP15ASSOC,Associate degree in Engineering Technologies And Engineering-Related Fields.,,,
152,academics.program.certificate_lt_4_yr.engineering_technology,CIP15CERT4,Award of at least two but less than four academic years in Engineering Technologies And Engineering-Related Fields.,,,
153,academics.program.bachelors.engineering_technology,CIP15BACHL,Bachelor's degree in Engineering Technologies And Engineering-Related Fields.,,,
154,academics.program.certificate_lt_1_yr.language,CIP16CERT1,"Certificate of less than one academic year in Foreign Languages, Literatures, And Linguistics.",,,
155,academics.program.certificate_lt_2_yr.language,CIP16CERT2,"Certificate of at least one but less than two academic years in Foreign Languages, Literatures, And Linguistics.",,,
156,academics.program.assoc.language,CIP16ASSOC,"Associate degree in Foreign Languages, Literatures, And Linguistics.",,,
157,academics.program.certificate_lt_4_yr.language,CIP16CERT4,"Award of at least two but less than four academic years in Foreign Languages, Literatures, And Linguistics.",,,
158,academics.program.bachelors.language,CIP16BACHL,"Bachelor's degree in Foreign Languages, Literatures, And Linguistics.",,,
159,academics.program.certificate_lt_1_yr.family_consumer_science,CIP19CERT1,Certificate of less than one academic year in Family And Consumer Sciences/Human Sciences.,,,
160,academics.program.certificate_lt_2_yr.family_consumer_science,CIP19CERT2,Certificate of at least one but less than two academic years in Family And Consumer Sciences/Human Sciences.,,,
161,academics.program.assoc.family_consumer_science,CIP19ASSOC,Associate degree in Family And Consumer Sciences/Human Sciences.,,,
162,academics.program.certificate_lt_4_yr.family_consumer_science,CIP19CERT4,Award of at least two but less than four academic years in Family And Consumer Sciences/Human Sciences.,,,
163,academics.program.bachelors.family_consumer_science,CIP19BACHL,Bachelor's degree in Family And Consumer Sciences/Human Sciences.,,,
164,academics.program.certificate_lt_1_yr.legal,CIP22CERT1,Certificate of less than one academic year in Legal Professions And Studies.,,,
165,academics.program.certificate_lt_2_yr.legal,CIP22CERT2,Certificate of at least one but less than two academic years in Legal Professions And Studies.,,,
166,academics.program.assoc.legal,CIP22ASSOC,Associate degree in Legal Professions And Studies.,,,
167,academics.program.certificate_lt_4_yr.legal,CIP22CERT4,Award of at least two but less than four academic years in Legal Professions And Studies.,,,
168,academics.program.bachelors.legal,CIP22BACHL,Bachelor's degree in Legal Professions And Studies.,,,
169,academics.program.certificate_lt_1_yr.english,CIP23CERT1,Certificate of less than one academic year in English Language And Literature/Letters.,,,
170,academics.program.certificate_lt_2_yr.english,CIP23CERT2,Certificate of at least one but less than two academic years in English Language And Literature/Letters.,,,
171,academics.program.assoc.english,CIP23ASSOC,Associate degree in English Language And Literature/Letters.,,,
172,academics.program.certificate_lt_4_yr.english,CIP23CERT4,Award of at least two but less than four academic years in English Language And Literature/Letters.,,,
173,academics.program.bachelors.english,CIP23BACHL,Bachelor's degree in English Language And Literature/Letters.,,,
174,academics.program.certificate_lt_1_yr.humanities,CIP24CERT1,"Certificate of less than one academic year in Liberal Arts And Sciences, General Studies And Humanities.",,,
175,academics.program.certificate_lt_2_yr.humanities,CIP24CERT2,"Certificate of at least one but less than two academic years in Liberal Arts And Sciences, General Studies And Humanities.",,,
176,academics.program.assoc.humanities,CIP24ASSOC,"Associate degree in Liberal Arts And Sciences, General Studies And Humanities.",,,
177,academics.program.certificate_lt_4_yr.humanities,CIP24CERT4,"Award of at least two but less than four academic years in Liberal Arts And Sciences, General Studies And Humanities.",,,
178,academics.program.bachelors.humanities,CIP24BACHL,"Bachelor's degree in Liberal Arts And Sciences, General Studies And Humanities.",,,
179,academics.program.certificate_lt_1_yr.library,CIP25CERT1,Certificate of less than one academic year in Library Science.,,,
180,academics.program.certificate_lt_2_yr.library,CIP25CERT2,Certificate of at least one but less than two academic years in Library Science.,,,
181,academics.program.assoc.library,CIP25ASSOC,Associate degree in Library Science.,,,
182,academics.program.certificate_lt_4_yr.library,CIP25CERT4,Award of at least two but less than four academic years in Library Science.,,,
183,academics.program.bachelors.library,CIP25BACHL,Bachelor's degree in Library Science.,,,
184,academics.program.certificate_lt_1_yr.biological,CIP26CERT1,Certificate of less than one academic year in Biological And Biomedical Sciences.,,,
185,academics.program.certificate_lt_2_yr.biological,CIP26CERT2,Certificate of at least one but less than two academic years in Biological And Biomedical Sciences.,,,
186,academics.program.assoc.biological,CIP26ASSOC,Associate degree in Biological And Biomedical Sciences.,,,
187,academics.program.certificate_lt_4_yr.biological,CIP26CERT4,Award of at least two but less than four academic years in Biological And Biomedical Sciences.,,,
188,academics.program.bachelors.biological,CIP26BACHL,Bachelor's degree in Biological And Biomedical Sciences.,,,
189,academics.program.certificate_lt_1_yr.mathematics,CIP27CERT1,Certificate of less than one academic year in Mathematics And Statistics.,,,
190,academics.program.certificate_lt_2_yr.mathematics,CIP27CERT2,Certificate of at least one but less than two academic years in Mathematics And Statistics.,,,
191,academics.program.assoc.mathematics,CIP27ASSOC,Associate degree in Mathematics And Statistics.,,,
192,academics.program.certificate_lt_4_yr.mathematics,CIP27CERT4,Award of at least two but less than four academic years in Mathematics And Statistics.,,,
193,academics.program.bachelors.mathematics,CIP27BACHL,Bachelor's degree in Mathematics And Statistics.,,,
194,academics.program.certificate_lt_1_yr.military,CIP29CERT1,Certificate of less than one academic year in Military Technologies And Applied Sciences.,,,
195,academics.program.certificate_lt_2_yr.military,CIP29CERT2,Certificate of at least one but less than two academic years in Military Technologies And Applied Sciences.,,,
196,academics.program.assoc.military,CIP29ASSOC,Associate degree in Military Technologies And Applied Sciences.,,,
197,academics.program.certificate_lt_4_yr.military,CIP29CERT4,Award of at least two but less than four academic years in Military Technologies And Applied Sciences.,,,
198,academics.program.bachelors.military,CIP29BACHL,Bachelor's degree in Military Technologies And Applied Sciences.,,,
199,academics.program.certificate_lt_1_yr.multidiscipline,CIP30CERT1,Certificate of less than one academic year in Multi/Interdisciplinary Studies.,,,
200,academics.program.certificate_lt_2_yr.multidiscipline,CIP30CERT2,Certificate of at least one but less than two academic years in Multi/Interdisciplinary Studies.,,,
201,academics.program.assoc.multidiscipline,CIP30ASSOC,Associate degree in Multi/Interdisciplinary Studies.,,,
202,academics.program.certificate_lt_4_yr.multidiscipline,CIP30CERT4,Award of at least two but less than four academic years in Multi/Interdisciplinary Studies.,,,
203,academics.program.bachelors.multidiscipline,CIP30BACHL,Bachelor's degree in Multi/Interdisciplinary Studies.,,,
204,academics.program.certificate_lt_1_yr.parks_recreation_fitness,CIP31CERT1,"Certificate of less than one academic year in Parks, Recreation, Leisure, And Fitness Studies.",,,
205,academics.program.certificate_lt_2_yr.parks_recreation_fitness,CIP31CERT2,"Certificate of at least one but less than two academic years in Parks, Recreation, Leisure, And Fitness Studies.",,,
206,academics.program.assoc.parks_recreation_fitness,CIP31ASSOC,"Associate degree in Parks, Recreation, Leisure, And Fitness Studies.",,,
207,academics.program.certificate_lt_4_yr.parks_recreation_fitness,CIP31CERT4,"Award of at least two but less than four academic years in Parks, Recreation, Leisure, And Fitness Studies.",,,
208,academics.program.bachelors.parks_recreation_fitness,CIP31BACHL,"Bachelor's degree in Parks, Recreation, Leisure, And Fitness Studies.",,,
209,academics.program.certificate_lt_1_yr.philosophy_religious,CIP38CERT1,Certificate of less than one academic year in Philosophy And Religious Studies.,,,
210,academics.program.certificate_lt_2_yr.philosophy_religious,CIP38CERT2,Certificate of at least one but less than two academic years in Philosophy And Religious Studies.,,,
211,academics.program.assoc.philosophy_religious,CIP38ASSOC,Associate degree in Philosophy And Religious Studies.,,,
212,academics.program.certificate_lt_4_yr.philosophy_religious,CIP38CERT4,Award of at least two but less than four academic years in Philosophy And Religious Studies.,,,
213,academics.program.bachelors.philosophy_religious,CIP38BACHL,Bachelor's degree in Philosophy And Religious Studies.,,,
214,academics.program.certificate_lt_1_yr.theology_religious_vocation,CIP39CERT1,Certificate of less than one academic year in Theology And Religious Vocations.,,,
215,academics.program.certificate_lt_2_yr.theology_religious_vocation,CIP39CERT2,Certificate of at least one but less than two academic years in Theology And Religious Vocations.,,,
216,academics.program.assoc.theology_religious_vocation,CIP39ASSOC,Associate degree in Theology And Religious Vocations.,,,
217,academics.program.certificate_lt_4_yr.theology_religious_vocation,CIP39CERT4,Award of at least two but less than four academic years in Theology And Religious Vocations.,,,
218,academics.program.bachelors.theology_religious_vocation,CIP39BACHL,Bachelor's degree in Theology And Religious Vocations.,,,
219,academics.program.certificate_lt_1_yr.physical_science,CIP40CERT1,Certificate of less than one academic year in Physical Sciences.,,,
220,academics.program.certificate_lt_2_yr.physical_science,CIP40CERT2,Certificate of at least one but less than two academic years in Physical Sciences.,,,
221,academics.program.assoc.physical_science,CIP40ASSOC,Associate degree in Physical Sciences.,,,
222,academics.program.certificate_lt_4_yr.physical_science,CIP40CERT4,Award of at least two but less than four academic years in Physical Sciences.,,,
223,academics.program.bachelors.physical_science,CIP40BACHL,Bachelor's degree in Physical Sciences.,,,
224,academics.program.certificate_lt_1_yr.science_technology,CIP41CERT1,Certificate of less than one academic year in Science Technologies/Technicians.,,,
225,academics.program.certificate_lt_2_yr.science_technology,CIP41CERT2,Certificate of at least one but less than two academic years in Science Technologies/Technicians.,,,
226,academics.program.assoc.science_technology,CIP41ASSOC,Associate degree in Science Technologies/Technicians.,,,
227,academics.program.certificate_lt_4_yr.science_technology,CIP41CERT4,Award of at least two but less than four academic years in Science Technologies/Technicians.,,,
228,academics.program.bachelors.science_technology,CIP41BACHL,Bachelor's degree in Science Technologies/Technicians.,,,
229,academics.program.certificate_lt_1_yr.psychology,CIP42CERT1,Certificate of less than one academic year in Psychology.,,,
230,academics.program.certificate_lt_2_yr.psychology,CIP42CERT2,Certificate of at least one but less than two academic years in Psychology.,,,
231,academics.program.assoc.psychology,CIP42ASSOC,Associate degree in Psychology.,,,
232,academics.program.certificate_lt_4_yr.psychology,CIP42CERT4,Award of at least two but less than four academic years in Psychology.,,,
233,academics.program.bachelors.psychology,CIP42BACHL,Bachelor's degree in Psychology.,,,
234,academics.program.certificate_lt_1_yr.security_law_enforcement,CIP43CERT1,"Certificate of less than one academic year in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.",,,
235,academics.program.certificate_lt_2_yr.security_law_enforcement,CIP43CERT2,"Certificate of at least one but less than two academic years in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.",,,
236,academics.program.assoc.security_law_enforcement,CIP43ASSOC,"Associate degree in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.",,,
237,academics.program.certificate_lt_4_yr.security_law_enforcement,CIP43CERT4,"Award of at least two but less than four academic years in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.",,,
238,academics.program.bachelors.security_law_enforcement,CIP43BACHL,"Bachelor's degree in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.",,,
239,academics.program.certificate_lt_1_yr.public_administration_social_service,CIP44CERT1,Certificate of less than one academic year in Public Administration And Social Service Professions.,,,
240,academics.program.certificate_lt_2_yr.public_administration_social_service,CIP44CERT2,Certificate of at least one but less than two academic years in Public Administration And Social Service Professions.,,,
241,academics.program.assoc.public_administration_social_service,CIP44ASSOC,Associate degree in Public Administration And Social Service Professions.,,,
242,academics.program.certificate_lt_4_yr.public_administration_social_service,CIP44CERT4,Award of at least two but less than four academic years in Public Administration And Social Service Professions.,,,
243,academics.program.bachelors.public_administration_social_service,CIP44BACHL,Bachelor's degree in Public Administration And Social Service Professions.,,,
244,academics.program.certificate_lt_1_yr.social_science,CIP45CERT1,Certificate of less than one academic year in Social Sciences.,,,
245,academics.program.certificate_lt_2_yr.social_science,CIP45CERT2,Certificate of at least one but less than two academic years in Social Sciences.,,,
246,academics.program.assoc.social_science,CIP45ASSOC,Associate degree in Social Sciences.,,,
247,academics.program.certificate_lt_4_yr.social_science,CIP45CERT4,Award of at least two but less than four academic years in Social Sciences.,,,
248,academics.program.bachelors.social_science,CIP45BACHL,Bachelor's degree in Social Sciences.,,,
249,academics.program.certificate_lt_1_yr.construction,CIP46CERT1,Certificate of less than one academic year in Construction Trades.,,,
250,academics.program.certificate_lt_2_yr.construction,CIP46CERT2,Certificate of at least one but less than two academic years in Construction Trades.,,,
251,academics.program.assoc.construction,CIP46ASSOC,Associate degree in Construction Trades.,,,
252,academics.program.certificate_lt_4_yr.construction,CIP46CERT4,Award of at least two but less than four academic years in Construction Trades.,,,
253,academics.program.bachelors.construction,CIP46BACHL,Bachelor's degree in Construction Trades.,,,
254,academics.program.certificate_lt_1_yr.mechanic_repair_technology,CIP47CERT1,Certificate of less than one academic year in Mechanic And Repair Technologies/Technicians.,,,
